szmpyr	Vous recevez une notification de votre assistante virtuelle, AUDE. “Plusieurs drones ont repéré des signes de spécimens ayant des comportements étrange autour d'une zone spécifique. Les protocoles standards requièrent que vous regardiez les vidéos.”
c2dj38	“Je vais regarder ça!”
fnb9kf	Quand vous regardez les vidéos, vous voyez en effet des comportements plus qu'étranges. Des spécimens, plus nombreux qu'habituellement, semblent passer leur temps à faire la sieste. Ceux qui sont réveillés ne se portent guère mieux, entre ceux qui titubent en zigzag et ceux qui apparaissent très aggressifs - le nombre de bagarres est en nette augmentation.
t2pxo2	“Haha regarde celui-là, il galère pour escalader cet arbre et fait que tomber! Faut que je partage ça sur l'internet de l'espace.”
5w41he	“Je peux pas m'attarder sur tous les comportements un peu bizarres des groupes ça et là. AUDE, archive ces vidéos.”
o94cbf	“C'est perturbant. Il faut qu'on lance une étude sur le sujet, comprendre la cause de tout ça.”
mm1ojv	Les vidéos que vous avez uploadées, avec les spécimens endormis ou bien qui tombent, font un tabac sur l'internet de l'espace. Une d'entre elles est même devenue un mème. Vous recevez un peu d'argent des revenus publicitaires.
gj64uk	Un rapport de AUDE indique que la plupart des spécimens du groupe où les individus se comportaient bizarrement n'ont pas survécu.
ojlmk1	Une équipe est formée, et chargée d'obtenir des réponses quant à l'origine du phénomène.
pezzzk	L'équipe que vous aviez envoyée enquêter sur les comportements anormaux de certains spécimens vous a fait part de ses premières conclusions : le changement est dû à des spores libérées par des arbres de la zone.
2pu7qx	“Si les arbres posent problème, on peut couper les arbres et il n'y aura plus de problème.”
srx3kv	“Intéressant, j'informerai les exobotanistes qu'ils se sont plantés - une fois de plus.”
f5b83d	“Je pense qu'il faut faire des études approfondies. Le problème vient des spores, mais qu'est-ce qui provoquent ces spores?”
p7btve	Dans la zone où les specimens faisaient preuve de comportements étranges, tous les arbres ont été coupés, faisant ainsi disparaître leurs spores. Bien entendu, des effets de bord délèteres sur l'environnement global sont à prévoir.
7tg990	Alors que l'équipe qui enquête sur les comportements anormaux constatés dans la zone commence à effectuer des prélèvements supplémentaires, des caisses sont découvertes, pleines de boissons énergisantes. L'une d'elle fuit et les boissons s'écoulent goutte à goutte dans une lac soutterrain. La liste d'ingrédients contient le même composé chimique que celui qui avait été isolé dans les spores à l'origine des comportements bizarres. L'équipe place des paris pour savoir si la faute revient aux exogéologues ou aux exobotanistes, puis ramasse les caisses. Quelques jours plus tard, tous les spécimens dans les environs se comportent de nouveau normalement.
