6l8mbu	Comme tous les jours, vous recevez les rapports d'Aude, et comme tous les jours, ils mentionnent un problème qui ne manque pas de vous agacer de plus en plus :
zj8wvw	“Comment ça se fait qu'on se retrouve avec autant de pluies acides ? C'est incroyable le niveau d'incompétence de ces exo-climatologues.”
73t3xa	“Comment est-ce qu'on est censés développer une espèce qui a besoin d'eau quand les déserts de cette planète ne font que s'étendre ?”
bf06mi	“Les exo-planétologues ont vraiment tout foiré. Je pensais pas que c'était possible d'arriver à un cycle jour/nuit deux fois plus long que prévu, et pourtant...”
0x9j54	“Je vais passer un savon à ces exo-botanistes pour cette foutue flore qu'ils nous ont laissée ici. J'ai hâte de les entendre expliquer pourquoi ils ont décidé d'ajouter des plantes vénéneuses qui tuent la moitié des spécimens qu'on essaye d'introduire.”
2j3dig	“Sérieux, c'est quoi le problème de la logistique ? Pourquoi est-ce qu'ils livrent toutes nos commandes dans le système stellaire d'à côté ?”
nm82y1	Un stagiaire à côté vous entend maugréer, et ajoute : “Je suis totalement d'accord. À quoi ça sert toute cette avalanche de rapports et d'avertissements ?” Malgré votre absence de réaction, il poursuit : “C'est comme quand je suis arrivé ici, Aude loggait sans arrêt des avertissements comme quoi la station ne serait pas dans le bon système stellaire. Alors que bon, c'est évident que vous n'auriez pas fait une erreur aussi grosse que se tromper de planète... du coup j'ai désactivé tout ça.”
01ybnv	Un doute vous saisit soudainement, puis vous vérifiez fébrilement les coordonnées spatiales dans votre ordre de mission. Alors, lentement, vous vous rendez à la seule conclusion possible, qui est horrible : vous avez bien fait une énorme erreur, et vous vous êtes définitivement trompé de planète.
eu6o62	“Personne ne doit découvrir ça. Je vais falsifier les rapports. Pour la suite, introduire une espèce, même si c'est sur un monde hostile, ça ne posera pas de problème pour quelqu'un d'aussi intelligent que moi.”
qk7hq1	“J'ai vraiment merdé... Il ne faut pas que quelqu'un découvre ça tout seul, il vaut mieux qu'on assume l'erreur dès maintenant.”
r6sukf	Peu après, vous recevez un appel de votre chef. Vous ne l'avez jamais entendu si furieux - il a l'air totalement enragé. “Imbécile ! J'ai fait ce boulot pendant plus de 600 périodes standards, et j'ai jamais vu quelqu'un bête au point de se tromper de planète. Je sais pas ce qui serait le pire, que votre bande d'idiots ait réalisé votre erreur et essayé de la cacher, ou que vous vous en soyez même pas rendu compte. Je m'en fous. Vous et votre fine équipe de crétins, vous êtes rétrogradés, et immédiatement.”
9ly65r	“C'en est fini de ma carrière...”
aldliq	L'appel avec votre chef se passe aussi bien qu'on aurait pu l'imaginer. “Imbécile ! J'ai fait ce boulot pendant plus de 600 périodes standards, et j'ai jamais vu quelqu'un bête au point de se tromper de planète. Qui va devoir rattraper votre cirque maintenant ? Comme si se coltiner tous les autres départements était déjà pas une corvée suffisante, maintenant même mes propres subordonnés sont des crétins. Vous avez une dernière chance, et c'est uniquement parce que je peux pas me permettre que cette affaire s'ébruite. Sinon, vous seriez tous déjà rétrogradés.”
rk6r3s	Déplacer votre espèce vers la planète qui est supposée être leur vraie destination ne sera pas facile, et prendra un peu de temps.
